
    ROCPROFV3 SUMMARY:

    |                                                   NAME                                                   |     DOMAIN      |      CALLS      | DURATION (nsec) | AVERAGE (nsec)  | PERCENT (INC) |   MIN (nsec)    |   MAX (nsec)    |     STDDEV      |
    | hipMemcpy                                                                                                | HIP_API         |              24 |          764974 |       3.187e+04 |      0.010542 |           20990 |           77658 |       1.350e+04 |
    | hipHostFree                                                                                              | HIP_API         |               2 |          618144 |       3.091e+05 |      0.008519 |          117012 |          501132 |       2.716e+05 |
    | hipCtxSetCurrent                                                                                         | HIP_API         |            1884 |          601604 |       3.193e+02 |      0.008291 |              80 |           20940 |       1.053e+03 |
    | hipDeviceEnablePeerAccess                                                                                | HIP_API         |              56 |          567344 |       1.013e+04 |      0.007819 |             300 |          107183 |       2.461e+04 |
    | hipSetDevice                                                                                             | HIP_API         |            1336 |          427198 |       3.198e+02 |      0.005887 |              70 |           15490 |       1.163e+03 |
    | __amd_rocclr_fillBufferAligned                                                                           | KERNEL_DISPATCH |               9 |          299682 |       3.330e+04 |      0.004130 |           32320 |           34400 |       6.569e+02 |
    | hipModuleGetFunction                                                                                     | HIP_API         |              88 |          283002 |       3.216e+03 |      0.003900 |             380 |           14638 |       2.295e+03 |
    | hipGraphInstantiate                                                                                      | HIP_API         |               1 |          261887 |       2.619e+05 |      0.003609 |          261887 |          261887 |       0.000e+00 |
    | hipEventCreateWithFlags                                                                                  | HIP_API         |             183 |          245406 |       1.341e+03 |      0.003382 |             421 |           21381 |       2.014e+03 |
    | hipGetDevice                                                                                             | HIP_API         |            1421 |          221337 |       1.558e+02 |      0.003050 |              60 |           12403 |       3.567e+02 |
    | hipDeviceGet                                                                                             | HIP_API         |              24 |          190122 |       7.922e+03 |      0.002620 |             100 |           49544 |       1.317e+04 |
    | hipDeviceSynchronize                                                                                     | HIP_API         |               8 |          164281 |       2.054e+04 |      0.002264 |            9659 |           26500 |       4.790e+03 |
    | hipEventDestroy                                                                                          | HIP_API         |             177 |          155186 |       8.768e+02 |      0.002139 |             430 |            6622 |       7.441e+02 |
    | hipGraphExecDestroy                                                                                      | HIP_API         |               1 |          128834 |       1.288e+05 |      0.001776 |          128834 |          128834 |       0.000e+00 |
    | input_reduce_fusion                                                                                      | KERNEL_DISPATCH |               2 |          112000 |       5.600e+04 |      0.001544 |           55840 |           56160 |       2.263e+02 |
    | hipGetDevicePropertiesR0600                                                                              | HIP_API         |              92 |          103698 |       1.127e+03 |      0.001429 |             150 |           11802 |       2.007e+03 |
    | hipExtGetLastError                                                                                       | HIP_API         |             404 |           72215 |       1.788e+02 |      0.000995 |             120 |            5371 |       2.607e+02 |
    | hipDevicePrimaryCtxGetState                                                                              | HIP_API         |               8 |           66154 |       8.269e+03 |      0.000912 |             571 |           26810 |       9.483e+03 |
    | hipDevicePrimaryCtxRetain                                                                                | HIP_API         |               8 |           64860 |       8.108e+03 |      0.000894 |             270 |           20789 |       7.857e+03 |
    | hipDeviceGetAttribute                                                                                    | HIP_API         |             192 |           63951 |       3.331e+02 |      0.000881 |             190 |            9148 |       6.693e+02 |
    | hipModuleGetGlobal                                                                                       | HIP_API         |               9 |           53790 |       5.977e+03 |      0.000741 |            2004 |           31199 |       9.524e+03 |
    | hipDeviceGetPCIBusId                                                                                     | HIP_API         |              16 |           47930 |       2.996e+03 |      0.000661 |             561 |           15981 |       3.761e+03 |
    | hipFuncGetAttribute                                                                                      | HIP_API         |              76 |           46742 |       6.150e+02 |      0.000644 |             110 |            7053 |       8.655e+02 |
    | hipGraphAddKernelNode                                                                                    | HIP_API         |               2 |           35046 |       1.752e+04 |      0.000483 |            5500 |           29546 |       1.700e+04 |
    | hipCtxGetDevice                                                                                          | HIP_API         |             120 |           31033 |       2.586e+02 |      0.000428 |              60 |           10530 |       1.109e+03 |
    | hipGetDeviceCount                                                                                        | HIP_API         |              31 |           30435 |       9.818e+02 |      0.000419 |             220 |            4418 |       7.412e+02 |
    | hipGraphExecKernelNodeSetParams                                                                          | HIP_API         |               2 |           29355 |       1.468e+04 |      0.000405 |            5179 |           24176 |       1.343e+04 |
    | twiddle_gen_radices_sp                                                                                   | KERNEL_DISPATCH |               1 |           28800 |       2.880e+04 |      0.000397 |           28800 |           28800 |       0.000e+00 |
    | hipCtxGetCurrent                                                                                         | HIP_API         |               8 |           23483 |       2.935e+03 |      0.000324 |             291 |           11020 |       3.737e+03 |
    | hipGraphExecMemcpyNodeSetParams1D                                                                        | HIP_API         |               5 |           21682 |       4.336e+03 |      0.000299 |            2274 |           10841 |       3.650e+03 |
    | loop_divide_fusion                                                                                       | KERNEL_DISPATCH |               4 |           20000 |       5.000e+03 |      0.000276 |            4480 |            6080 |       7.318e+02 |
    | hipGraphAddMemcpyNode1D                                                                                  | HIP_API         |               5 |           18986 |       3.797e+03 |      0.000262 |             772 |           14578 |       6.034e+03 |
    | wrapped_multiply                                                                                         | KERNEL_DISPATCH |               4 |           18561 |       4.640e+03 |      0.000256 |            4160 |            5120 |       4.130e+02 |
    | hipDriverGetVersion                                                                                      | HIP_API         |              16 |           18326 |       1.145e+03 |      0.000253 |              70 |            9488 |       2.568e+03 |
    | wrapped_exponential                                                                                      | KERNEL_DISPATCH |               4 |           17280 |       4.320e+03 |      0.000238 |            4000 |            4640 |       2.921e+02 |
    | hipGraphCreate                                                                                           | HIP_API         |               1 |           14728 |       1.473e+04 |      0.000203 |           14728 |           14728 |       0.000e+00 |
    | hipDeviceCanAccessPeer                                                                                   | HIP_API         |              56 |           14166 |       2.530e+02 |      0.000195 |              70 |            8015 |       1.057e+03 |
    | hipDeviceGetName                                                                                         | HIP_API         |              16 |           12284 |       7.678e+02 |      0.000169 |             100 |            6552 |       1.580e+03 |
    | hipDeviceTotalMem                                                                                        | HIP_API         |              16 |           11701 |       7.313e+02 |      0.000161 |              90 |            6483 |       1.564e+03 |
    | hipRuntimeGetVersion                                                                                     | HIP_API         |              16 |            9625 |       6.016e+02 |      0.000133 |              70 |            5070 |       1.222e+03 |
    | wrapped_cosine                                                                                           | KERNEL_DISPATCH |               2 |            9600 |       4.800e+03 |      0.000132 |            4800 |            4800 |       0.000e+00 |
    | twiddle_gen_N_sp                                                                                         | KERNEL_DISPATCH |               1 |            8320 |       8.320e+03 |      0.000115 |            8320 |            8320 |       0.000e+00 |
    | loop_add_fusion_4                                                                                        | KERNEL_DISPATCH |               2 |            8160 |       4.080e+03 |      0.000112 |            4000 |            4160 |       1.131e+02 |
    | loop_add_fusion_5                                                                                        | KERNEL_DISPATCH |               2 |            8000 |       4.000e+03 |      0.000110 |            4000 |            4000 |       0.000e+00 |
    | hipGraphDestroy                                                                                          | HIP_API         |               1 |            7835 |       7.835e+03 |      0.000108 |            7835 |            7835 |       0.000e+00 |
    | hipDeviceGetStreamPriorityRange                                                                          | HIP_API         |               4 |            6421 |       1.605e+03 |      0.000088 |             260 |            5540 |       2.623e+03 |
    | loop_compare_fusion                                                                                      | KERNEL_DISPATCH |               1 |            4801 |       4.801e+03 |      0.000066 |            4801 |            4801 |       0.000e+00 |
    | loop_select_fusion                                                                                       | KERNEL_DISPATCH |               1 |            4480 |       4.480e+03 |      0.000062 |            4480 |            4480 |       0.000e+00 |
    | wrapped_iota                                                                                             | KERNEL_DISPATCH |               2 |            3680 |       1.840e+03 |      0.000051 |            1760 |            1920 |       1.131e+02 |
    | input_concatenate_fusion                                                                                 | KERNEL_DISPATCH |               1 |            2400 |       2.400e+03 |      0.000033 |            2400 |            2400 |       0.000e+00 |

