
    ROCPROFV3 SUMMARY:

    |                   NAME                   |     DOMAIN      |      CALLS      | DURATION (nsec) | AVERAGE (nsec)  | PERCENT (INC) |   MIN (nsec)    |   MAX (nsec)    |     STDDEV      |
    | hipDevicePrimaryCtxGetState              | HIP_API         |               8 |           97966 |       1.225e+04 |      0.001007 |            1343 |           42250 |       1.449e+04 |
    | hipGetDevicePropertiesR0600              | HIP_API         |              67 |           92523 |       1.381e+03 |      0.000951 |             150 |           15399 |       2.407e+03 |
    | hipStreamQuery                           | HIP_API         |             150 |           75517 |       5.034e+02 |      0.000776 |             300 |            7855 |       6.105e+02 |
    | hipDeviceGetAttribute                    | HIP_API         |             192 |           70657 |       3.680e+02 |      0.000726 |             190 |            9068 |       7.239e+02 |
    | hipDevicePrimaryCtxRetain                | HIP_API         |               8 |           53038 |       6.630e+03 |      0.000545 |             340 |           24837 |       8.101e+03 |
    | loop_add_fusion_3                        | KERNEL_DISPATCH |              12 |           47681 |       3.973e+03 |      0.000490 |            3840 |            4160 |       1.147e+02 |
    | hipDeviceGetPCIBusId                     | HIP_API         |              16 |           39745 |       2.484e+03 |      0.000408 |             621 |           11672 |       2.870e+03 |
    | hipGetDevice                             | HIP_API         |              36 |           38370 |       1.066e+03 |      0.000394 |              70 |           17223 |       2.917e+03 |
    | hipCtxGetDevice                          | HIP_API         |             120 |           33810 |       2.818e+02 |      0.000347 |              60 |           15900 |       1.531e+03 |
    | hipModuleGetGlobal                       | HIP_API         |               2 |           30558 |       1.528e+04 |      0.000314 |            2935 |           27623 |       1.746e+04 |
    | hipFuncGetAttribute                      | HIP_API         |              56 |           30326 |       5.415e+02 |      0.000312 |              90 |            7194 |       9.855e+02 |
    | hipGraphAddKernelNode                    | HIP_API         |               6 |           28152 |       4.692e+03 |      0.000289 |             961 |           16932 |       6.112e+03 |
    | hipDeviceCanAccessPeer                   | HIP_API         |              56 |           26570 |       4.745e+02 |      0.000273 |              70 |           20099 |       2.671e+03 |
    | loop_add_fusion_2                        | KERNEL_DISPATCH |              12 |           25280 |       2.107e+03 |      0.000260 |            1760 |            3680 |       5.277e+02 |
    | hipGetDeviceCount                        | HIP_API         |              17 |           17965 |       1.057e+03 |      0.000185 |             230 |            4488 |       9.223e+02 |
    | hipDeviceTotalMem                        | HIP_API         |              16 |           16479 |       1.030e+03 |      0.000169 |              90 |            6282 |       1.999e+03 |
    | hipGraphDestroy                          | HIP_API         |               2 |           15038 |       7.519e+03 |      0.000155 |            2765 |           12273 |       6.723e+03 |
