
    ROCPROFV3 SUMMARY:

    |                                                   NAME                                                   |     DOMAIN      |      CALLS      | DURATION (nsec) | AVERAGE (nsec)  | PERCENT (INC) |   MIN (nsec)    |   MAX (nsec)    |     STDDEV      |
    | loop_select_fusion                                                                                       | KERNEL_DISPATCH |               2 |            8800 |       4.400e+03 |      0.000092 |            4000 |            4800 |       5.657e+02 |
    | wrapped_exponential                                                                                      | KERNEL_DISPATCH |               2 |            8800 |       4.400e+03 |      0.000092 |            4320 |            4480 |       1.131e+02 |
    | loop_add_fusion_3                                                                                        | KERNEL_DISPATCH |               2 |            8320 |       4.160e+03 |      0.000087 |            4160 |            4160 |       0.000e+00 |
    | loop_add_fusion_4                                                                                        | KERNEL_DISPATCH |               2 |            8000 |       4.000e+03 |      0.000083 |            3840 |            4160 |       2.263e+02 |
    | hipDriverGetVersion                                                                                      | HIP_API         |              16 |            6434 |       4.021e+02 |      0.000067 |              70 |            2896 |       6.799e+02 |
    | wrapped_iota                                                                                             | KERNEL_DISPATCH |               3 |            6240 |       2.080e+03 |      0.000065 |            1600 |            2720 |       5.769e+02 |
    | input_concatenate_fusion                                                                                 | KERNEL_DISPATCH |               2 |            6240 |       3.120e+03 |      0.000065 |            3040 |            3200 |       1.131e+02 |
    | hipDeviceGetStreamPriorityRange                                                                          | HIP_API         |               4 |            4538 |       1.134e+03 |      0.000047 |             251 |            3727 |       1.728e+03 |
    | loop_compare_fusion                                                                                      | KERNEL_DISPATCH |               1 |            4320 |       4.320e+03 |      0.000045 |            4320 |            4320 |       0.000e+00 |
    | loop_subtract_fusion                                                                                     | KERNEL_DISPATCH |               1 |            3200 |       3.200e+03 |      0.000033 |            3200 |            3200 |       0.000e+00 |

