
    ROCPROFV3 SUMMARY:

    |                                                         NAME                                                          |     DOMAIN      |      CALLS      | DURATION (nsec) | AVERAGE (nsec)  | PERCENT (INC) |   MIN (nsec)    |   MAX (nsec)    |     STDDEV      |
    | hipModuleGetFunction                                                                                                  | HIP_API         |             119 |          368763 |       3.099e+03 |      0.004342 |             291 |           17353 |       2.239e+03 |
    | fft_rtc_fwd_len_128_factors_16_8_wgs_256_tpt_16_dp_ip_CI_sbcc_dirReg                                                  | KERNEL_DISPATCH |              22 |          350402 |       1.593e+04 |      0.004126 |           12000 |           16640 |       9.020e+02 |
    | hipSetDevice                                                                                                          | HIP_API         |             340 |          340430 |       1.001e+03 |      0.004008 |              70 |           14157 |       1.968e+03 |
    | __amd_rocclr_fillBufferAligned                                                                                        | KERNEL_DISPATCH |               9 |          298242 |       3.314e+04 |      0.003512 |           32000 |           34880 |       9.846e+02 |
    | hipStreamIsCapturing                                                                                                  | HIP_API         |             132 |          293259 |       2.222e+03 |      0.003453 |            1112 |           23916 |       2.999e+03 |
    | void rocblas_scal_kernel<int, 256, double, double, double, double*>(int, double, long, double*, long, int, long, int) | KERNEL_DISPATCH |              66 |          282883 |       4.286e+03 |      0.003331 |            4000 |            5120 |       2.272e+02 |
    | hipGraphInstantiate                                                                                                   | HIP_API         |               1 |          242110 |       2.421e+05 |      0.002851 |          242110 |          242110 |       0.000e+00 |
    | loop_add_fusion_3                                                                                                     | KERNEL_DISPATCH |              40 |          233447 |       5.836e+03 |      0.002749 |            5440 |            7201 |       4.612e+02 |
    | hipEventCreateWithFlags                                                                                               | HIP_API         |             198 |          221795 |       1.120e+03 |      0.002611 |             390 |           14167 |       1.368e+03 |
    | hipEventDestroy                                                                                                       | HIP_API         |             192 |          220144 |       1.147e+03 |      0.002592 |             451 |           28214 |       2.147e+03 |
    | fft_rtc_fwd_len_64_factors_4_4_4_wgs_64_tpt_16_dp_op_CI_CI_unitstride_sbrr_R2C_dirReg                                 | KERNEL_DISPATCH |              22 |          203201 |       9.236e+03 |      0.002393 |            7840 |           10561 |       7.811e+02 |
    | hipDeviceSynchronize                                                                                                  | HIP_API         |               8 |          169482 |       2.119e+04 |      0.001996 |            8957 |           28444 |       5.806e+03 |
    | hipDeviceGet                                                                                                          | HIP_API         |              24 |          144282 |       6.012e+03 |      0.001699 |              80 |           48482 |       1.124e+04 |
    | hipGraphExecDestroy                                                                                                   | HIP_API         |               1 |          134455 |       1.345e+05 |      0.001583 |          134455 |          134455 |       0.000e+00 |
    | hipGetDevicePropertiesR0600                                                                                           | HIP_API         |             100 |           93327 |       9.333e+02 |      0.001099 |             160 |            9058 |       1.449e+03 |
    | hipDevicePrimaryCtxGetState                                                                                           | HIP_API         |               8 |           91624 |       1.145e+04 |      0.001079 |             631 |           37612 |       1.395e+04 |
    | hipGetDevice                                                                                                          | HIP_API         |             441 |           84812 |       1.923e+02 |      0.000999 |              60 |            2424 |       2.286e+02 |
    | loop_add_fusion_2                                                                                                     | KERNEL_DISPATCH |              20 |           79522 |       3.976e+03 |      0.000936 |            3040 |            4160 |       2.338e+02 |
    | loop_add_fusion_5                                                                                                     | KERNEL_DISPATCH |              20 |           78561 |       3.928e+03 |      0.000925 |            1760 |            4160 |       5.177e+02 |
    | hipCtxGetCurrent                                                                                                      | HIP_API         |               8 |           73180 |       9.148e+03 |      0.000862 |             451 |           27743 |       1.144e+04 |
    | hipDeviceGetAttribute                                                                                                 | HIP_API         |             192 |           69557 |       3.623e+02 |      0.000819 |             180 |           10409 |       8.919e+02 |
    | hipFuncGetAttribute                                                                                                   | HIP_API         |             104 |           57607 |       5.539e+02 |      0.000678 |              80 |            7404 |       8.182e+02 |
    | hipDevicePrimaryCtxRetain                                                                                             | HIP_API         |               8 |           52678 |       6.585e+03 |      0.000620 |             400 |           23074 |       8.757e+03 |
    | hipModuleGetGlobal                                                                                                    | HIP_API         |              16 |           48525 |       3.033e+03 |      0.000571 |            1302 |           22704 |       5.257e+03 |
    | hipGetDeviceCount                                                                                                     | HIP_API         |              46 |           44346 |       9.640e+02 |      0.000522 |             260 |            4398 |       6.094e+02 |
    | hipDeviceGetPCIBusId                                                                                                  | HIP_API         |              16 |           42130 |       2.633e+03 |      0.000496 |             591 |           10660 |       2.613e+03 |
    | hipGraphExecMemcpyNodeSetParams1D                                                                                     | HIP_API         |               9 |           33443 |       3.716e+03 |      0.000394 |            2084 |           11502 |       2.940e+03 |
    | twiddle_gen_radices_dp                                                                                                | KERNEL_DISPATCH |               2 |           32480 |       1.624e+04 |      0.000382 |           14080 |           18400 |       3.055e+03 |
    | hipGraphAddMemcpyNode1D                                                                                               | HIP_API         |               9 |           24438 |       2.715e+03 |      0.000288 |            1313 |           11923 |       3.460e+03 |
    | hipGraphExecKernelNodeSetParams                                                                                       | HIP_API         |               2 |           23175 |       1.159e+04 |      0.000273 |            3567 |           19608 |       1.134e+04 |
    | wrapped_cosine                                                                                                        | KERNEL_DISPATCH |               4 |           22880 |       5.720e+03 |      0.000269 |            5280 |            6560 |       5.750e+02 |
    | hipCtxGetDevice                                                                                                       | HIP_API         |             120 |           18745 |       1.562e+02 |      0.000221 |              60 |            5321 |       5.052e+02 |
    | hipGraphAddKernelNode                                                                                                 | HIP_API         |               2 |           18585 |       9.292e+03 |      0.000219 |            5020 |           13565 |       6.042e+03 |
    | hipExtGetLastError                                                                                                    | HIP_API         |              66 |           18400 |       2.788e+02 |      0.000217 |             150 |            5380 |       6.429e+02 |
    | hipDeviceTotalMem                                                                                                     | HIP_API         |              16 |           17926 |       1.120e+03 |      0.000211 |              90 |            7014 |       2.272e+03 |
    | wrapped_multiply                                                                                                      | KERNEL_DISPATCH |               6 |           16480 |       2.747e+03 |      0.000194 |            2400 |            3360 |       3.419e+02 |
    | hipDeviceGetName                                                                                                      | HIP_API         |              16 |           15638 |       9.774e+02 |      0.000184 |             100 |            7033 |       1.904e+03 |
    | hipDeviceCanAccessPeer                                                                                                | HIP_API         |              56 |           13308 |       2.376e+02 |      0.000157 |              71 |            6933 |       9.120e+02 |
    | hipGraphDestroy                                                                                                       | HIP_API         |               1 |           10350 |       1.035e+04 |      0.000122 |           10350 |           10350 |       0.000e+00 |
    | hipGraphCreate                                                                                                        | HIP_API         |               1 |           10150 |       1.015e+04 |      0.000120 |           10150 |           10150 |       0.000e+00 |
    | loop_divide_fusion                                                                                                    | KERNEL_DISPATCH |               3 |           10080 |       3.360e+03 |      0.000119 |            2720 |            4480 |       9.732e+02 |
    | loop_select_fusion                                                                                                    | KERNEL_DISPATCH |               2 |            9761 |       4.880e+03 |      0.000115 |            4801 |            4960 |       1.124e+02 |
    | wrapped_negate                                                                                                        | KERNEL_DISPATCH |               2 |            9120 |       4.560e+03 |      0.000107 |            4480 |            4640 |       1.131e+02 |
    | wrapped_exponential                                                                                                   | KERNEL_DISPATCH |               2 |            8800 |       4.400e+03 |      0.000104 |            4320 |            4480 |       1.131e+02 |
    | loop_add_fusion_7                                                                                                     | KERNEL_DISPATCH |               2 |            8321 |       4.160e+03 |      0.000098 |            4160 |            4161 |       7.071e-01 |
    | loop_add_fusion_6                                                                                                     | KERNEL_DISPATCH |               2 |            8000 |       4.000e+03 |      0.000094 |            4000 |            4000 |       0.000e+00 |
    | twiddle_gen_half_N_dp                                                                                                 | KERNEL_DISPATCH |               1 |            7680 |       7.680e+03 |      0.000090 |            7680 |            7680 |       0.000e+00 |
    | hipDeviceGetStreamPriorityRange                                                                                       | HIP_API         |               4 |            7314 |       1.828e+03 |      0.000086 |             290 |            6212 |       2.923e+03 |
    | hipRuntimeGetVersion                                                                                                  | HIP_API         |              16 |            7303 |       4.564e+02 |      0.000086 |             100 |            3556 |       8.379e+02 |
    | hipDriverGetVersion                                                                                                   | HIP_API         |              16 |            6413 |       4.008e+02 |      0.000076 |              70 |            3256 |       7.731e+02 |
    | wrapped_iota                                                                                                          | KERNEL_DISPATCH |               3 |            5280 |       1.760e+03 |      0.000062 |            1600 |            1920 |       1.600e+02 |
    | loop_compare_fusion                                                                                                   | KERNEL_DISPATCH |               1 |            4320 |       4.320e+03 |      0.000051 |            4320 |            4320 |       0.000e+00 |
    | loop_subtract_fusion                                                                                                  | KERNEL_DISPATCH |               1 |            3520 |       3.520e+03 |      0.000041 |            3520 |            3520 |       0.000e+00 |

